HAS_DATA;PREFIXO;EMPRESA;HAS_QTD_LITROS;Tratando_Recalcula;Verifica_QTD_LITROS;HAS_ENCERRANTE_DEPOIS;HAS_ENCERRANTE_ANTES;Recalcula_QTD_LITROS;TANQUE;TER_DATA_ULTIMA_COMUNIC;TER_CODIGO;TER_IDENTIFICACAO_EMPRESA;BOM_CODIGO;CAR_CODIGO_ABASTECEDOR;VEI_CODIGO;VEI_OBSERVACAO;USU_CODIGO;HAS_ODOMETRO;KM_ANT;KM_PERCO
13/01/2025;0002513;27;158;0;ERRO;null;null;null;550;03/07/2025 08:00;7;6;24;1819;2876;null;51;null;null;null
15/01/2025;0002313;27;0;70;ERRO;2320913;2320843;70;310;03/07/2025 07:59;5;5;67;3618;2649;null;95;118018;118018;0
16/01/2025;0002340;27;138;0;ERRO;null;null;null;300;03/07/2025 08:00;7;6;64;1802;2686;null;100;59578;59578;0
17/01/2025;0063007;21;225;119;ERRO;20084207;20084089;119;500;03/07/2025 08:00;3;2;9;null;640;FCI-2378;null;761774;761527;247
17/01/2025;0063010;21;213;0;ERRO;29066678;29066678;0;600;03/07/2025 08:00;1;1;31;null;1530;FFM-2312;null;832333;832333;0
17/01/2025;0063034;21;107;69;ERRO;20084403;20084334;69;600;03/07/2025 08:00;3;2;9;null;1592;FUY-1838;null;742951;742848;103
17/01/2025;0063633;21;43;24;ERRO;14552838;14552814;24;500;03/07/2025 07:59;2;3;4;null;2472;null;null;292472;292408;64
18/01/2025;0063045;21;167;125;ERRO;26251563;26251438;125;600;03/07/2025 08:00;1;1;1;null;1601;FYH-1341;null;755150;754990;160
18/01/2025;0063219;21;163;106;ERRO;13777328;13777222;106;600;03/07/2025 07:59;2;3;28;null;1385;FFN-6694;null;738394;738133;261
18/01/2025;0063216;21;153;103;ERRO;18495263;18495160;103;600;03/07/2025 07:59;2;3;29;4124;1396;FFN-6687;110;776848;776622;226
18/01/2025;0063242;27;138;106;ERRO;6850344;6850239;106;600;03/07/2025 08:00;110;4;62;null;1474;FAW-6069;null;657831;657611;220
18/01/2025;0063025;21;83;16;ERRO;25181703;25181688;16;600;03/07/2025 08:00;3;2;8;null;1545;FHN-7339;null;777213;777213;0
18/01/2025;0063080;21;53;9;ERRO;25174753;25174743;9;600;03/07/2025 08:00;3;2;8;null;1888;EFW-0080;null;639147;639147;0
18/01/2025;0063559;21;45;27;ERRO;10499090;10499063;27;600;03/07/2025 08:00;1;1;51;null;2153;FHO-9067;null;31504;31504;0
18/01/2025;0063286;21;188;117;ERRO;13777730;13777613;117;350;03/07/2025 07:59;2;3;28;null;2783;null;null;578728;578448;280
19/01/2025;0006301;21;482;0;ERRO;null;null;null;275;03/07/2025 07:59;109;10;43;2751;974;EZL-0212;112;228632;228393;239
19/01/2025;0063589;21;207;37;ERRO;26260840;26260803;37;250;03/07/2025 08:00;1;1;1;4114;726;GGK-5D78;81;475502;475202;300
19/01/2025;0063598;21;107;69;ERRO;26261170;26261101;69;250;03/07/2025 08:00;1;1;1;null;735;GGJ-0133;null;386338;386176;162
19/01/2025;0063526;21;119;0;ERRO;null;null;null;600;03/07/2025 08:00;3;2;52;4114;767;ECI-1540;81;322295;322174;121
19/01/2025;0063276;21;230;0;ERRO;null;null;null;300;03/07/2025 08:00;3;2;52;4114;1442;EPA-9E68;81;427330;426770;560
19/01/2025;0063010;21;64;0;ERRO;null;null;null;600;03/07/2025 08:00;3;2;52;4114;1530;FFM-2312;81;832699;832626;73
19/01/2025;0063027;21;123;55;ERRO;20093802;20093747;55;500;03/07/2025 08:00;3;2;9;null;56;FUD-5881;null;739719;739719;0
19/01/2025;0063694;21;240;0;ERRO;null;null;null;250;03/07/2025 08:00;3;2;52;4114;106;DTE-1668 TREINAM;81;358975;359864;-889
19/01/2025;0063012;21;101;12;ERRO;25186411;25186399;12;500;03/07/2025 08:00;3;2;8;null;147;FNY-1860;null;774425;774084;341
19/01/2025;0063037;21;45;9;ERRO;25187022;25187013;9;600;03/07/2025 08:00;3;2;8;2676;1589;FVC-8963;60;783463;783463;0
19/01/2025;0006404;21;570;0;ERRO;null;null;null;615;03/07/2025 07:59;109;10;43;2751;1141;EZL-0178;112;452115;452115;0
19/01/2025;0063244;21;188;121;ERRO;14560166;14560046;121;600;03/07/2025 07:59;2;3;4;null;1426;FJU-6812;null;670193;669935;258
19/01/2025;0063313;21;123;0;ERRO;null;null;null;600;03/07/2025 08:00;3;2;52;4114;1753;FZV-3441;81;678139;678041;98
19/01/2025;0063335;21;55;0;ERRO;null;null;null;600;03/07/2025 08:00;3;2;52;4115;2065;GJC-7382;96;453419;453336;83
19/01/2025;0063336;21;99;0;ERRO;null;null;null;600;03/07/2025 08:00;3;2;52;4115;2066;GEL-1043;96;455772;455615;157
