EMPRESA,Empresa,Prefixo,Litros
27,Pernambuco,0000900,89.62
27,Pernambuco,0002001,136.27
27,Pernambuco,0002002,139.14
27,Pernambuco,0002003,159.23
27,Pernambuco,0002004,142.699
27,Pernambuco,0002005,145.009
27,Pernambuco,0002006,159.09
27,Pernambuco,0002007,179.759
27,Pernambuco,0002008,138.3
27,Pernambuco,0002009,139.55
27,Pernambuco,0002010,154.31
27,Pernambuco,0002011,158.21
27,Pernambuco,0002012,140.75
27,Pernambuco,0002013,160.56
27,Pernambuco,0002014,112.59
27,Pernambuco,0002015,141.97
27,Pernambuco,0002016,167.58
27,Pernambuco,0002017,171.02
27,Pernambuco,0002018,174.21
27,Pernambuco,0002019,169.06
27,Pernambuco,0002020,188.069
27,Pernambuco,0002021,122.629
27,Pernambuco,0002022,125.909
27,Pernambuco,0002023,73.2
27,Pernambuco,0002024,124.19
27,Pernambuco,0002025,110.359
27,Pernambuco,0002026,120.32
27,Pernambuco,0002027,124.8
27,Pernambuco,0002028,128.569
27,Pernambuco,0002029,115.569
27,Pernambuco,0002030,93.22
27,Pernambuco,0002031,200.729
27,Pernambuco,0002032,185.719
27,Pernambuco,0002033,187.84
27,Pernambuco,0002034,167.7
27,Pernambuco,0002035,181.56
27,Pernambuco,0002036,160.01
27,Pernambuco,0002037,177.12
27,Pernambuco,0002038,181.54
27,Pernambuco,0002039,165.83
27,Pernambuco,0002040,169.87
27,Pernambuco,0002041,154.28
27,Pernambuco,0002042,186.76
27,Pernambuco,0002043,151.87
27,Pernambuco,0002044,189.539
27,Pernambuco,0002045,186.419
27,Pernambuco,0002046,189.81
27,Pernambuco,0002047,175.74
27,Pernambuco,0002048,173.94
27,Pernambuco,0002049,239.169
27,Pernambuco,0002050,231.93
27,Pernambuco,0002101,68.75
27,Pernambuco,0002102,72.8
27,Pernambuco,0002201,69.78
27,Pernambuco,0002301,178.46
27,Pernambuco,0002302,194.65
27,Pernambuco,0002303,250.7
27,Pernambuco,0002304,195.27
27,Pernambuco,0002305,188.569
27,Pernambuco,0002306,209.569
27,Pernambuco,0002307,162.389
27,Pernambuco,0002308,197.639
27,Pernambuco,0002309,250.419
27,Pernambuco,0002310,177.8
27,Pernambuco,0002311,185.84
27,Pernambuco,0002312,171.09
27,Pernambuco,0002313,161.56
27,Pernambuco,0002314,176.61
27,Pernambuco,0002315,190.15
27,Pernambuco,0002316,189.13
27,Pernambuco,0002317,199.11
27,Pernambuco,0002318,246.349
27,Pernambuco,0002319,170.13
27,Pernambuco,0002320,183.28
27,Pernambuco,0002321,193.95
27,Pernambuco,0002322,176.28
