EMPRESA,DATA,Prefixo,Tanque,Litros,NewLitros,Volume_Excedente
21,"2025-01-01 22:52:38",0063197,200,200.21,200.21,0.21
21,"2025-01-03 23:22:31",0063197,200,200.25,200.25,0.25
21,"2025-01-04 00:17:44",0063500,250,250.59,250.59,0.59
21,"2025-01-06 00:25:39",0063197,200,200.56,200.56,0.56
21,"2025-01-14 20:05:03",0063595,275,275.8,275.80,0.8
21,"2025-01-18 02:06:39",0063197,200,200.31,200.31,0.31
21,"2025-01-24 22:40:07",0063197,200,200.48,200.48,0.48
21,"2025-01-26 23:14:02",0063500,250,250.79,250.79,0.79
21,"2025-01-27 01:15:15",0063600,300,301.01,301.01,1.01
21,"2025-01-30 22:35:33",0063197,200,200.41,200.41,0.41
21,"2025-02-02 20:00:17",0063500,250,250.39,250.39,0.39
21,"2025-02-06 00:03:12",0063197,200,200.37,200.37,0.37
21,"2025-02-16 01:16:45",0063500,250,250.52,250.52,0.52
21,"2025-02-17 03:39:04",0063500,250,250.17,250.17,0.17
21,"2025-02-20 00:42:09",0063197,200,200.62,200.62,0.62
21,"2025-02-25 19:49:09",0063500,250,250.35,250.35,0.35
21,"2025-04-02 23:57:29",0063197,200,200.6,200.60,0.6
21,"2025-04-13 00:20:29",0063501,300,300.43,300.43,0.43
21,"2025-04-16 00:14:34",0063197,200,200.68,200.68,0.68
27,"2025-04-25 19:03:41",0000700,80,80.49,80.49,0.49
21,"2025-05-10 00:10:29",0063197,200,200.37,200.37,0.37
21,"2025-05-11 23:40:51",0063590,250,297.53,297.53,47.53
21,"2025-06-09 00:49:58",0063500,250,250.86,250.86,0.86
21,"2025-06-24 10:28:42",0006311,150,157.36,157.36,7.36
21,"2025-07-08 00:29:25",0063197,200,200.3,200.30,0.3
21,"2025-07-16 00:12:19",0063197,200,200.04,200.04,0.04
21,"2025-07-17 00:11:03",0063197,200,200.46,200.46,0.46
