Prefixo,Tanque,DATA,Litros,HAS_ENCERRANTE_ANTES,HAS_ENCERRANTE_DEPOIS,Volume_Excedente
0063197,200,"2025-01-01 22:52:38",200.21,26133498.30,26133698.51,0.21
0063197,200,"2025-01-03 23:22:31",200.25,10461385.35,10461585.60,0.25
0063500,250,"2025-01-04 00:17:44",250.59,19994727.68,19994978.27,0.59
0063197,200,"2025-01-06 00:25:39",200.56,25081833.29,25082033.85,0.56
0063595,275,"2025-01-14 20:05:03",275.8,29821741.78,29822017.58,0.8
0063197,200,"2025-01-18 02:06:39",200.31,26247140.51,26247340.82,0.31
0006301,275,"2025-01-19 15:32:00",482,NULL,NULL,207
0063197,200,"2025-01-24 22:40:07",200.48,26302401.25,26302601.73,0.48
0063500,250,"2025-01-26 23:14:02",250.79,20152482.29,20152733.08,0.79
0063600,300,"2025-01-27 01:15:15",301.01,14592978.07,14593279.08,1.01
0063197,200,"2025-01-30 22:35:33",200.41,25287554.87,25287755.28,0.41
0006301,275,"2025-01-31 22:33:00",350,NULL,NULL,75
0063500,250,"2025-02-02 20:00:17",250.39,25308407.50,25308657.89,0.39
0063197,200,"2025-02-06 00:03:12",200.37,10558607.74,10558808.11,0.37
0063500,250,"2025-02-16 01:16:45",250.52,25421004.25,25421254.77,0.52
0063500,250,"2025-02-17 03:39:04",250.17,26481073.90,26481324.07,0.17
0063197,200,"2025-02-20 00:42:09",200.62,29308700.21,29308900.83,0.62
0063598,250,"2025-02-23 02:33:18",289.4,29339940.41,29340154.72,39.4
0063500,250,"2025-02-25 19:49:09",250.35,25498100.79,25498351.14,0.35
0063197,200,"2025-04-02 23:57:29",200.6,10708539.74,10708740.34,0.6
0063501,300,"2025-04-13 00:20:29",300.43,25869575.10,25869875.53,0.43
0063197,200,"2025-04-16 00:14:34",200.68,10752546.68,10752747.36,0.68
0000700,80,"2025-04-25 19:03:41",80.49,13179976.87,13180057.36,0.49
0063197,200,"2025-05-10 00:10:29",200.37,10819133.43,10819333.80,0.37
0063590,250,"2025-05-11 23:40:51",297.53,19141343.85,19141641.38,47.53
0063500,250,"2025-06-09 00:49:58",250.86,30206876.47,30207127.33,0.86
0006311,150,"2025-06-24 10:28:42",157.36,13984308.80,13984466.16,7.36
0063197,200,"2025-07-08 00:29:25",200.3,30446593.07,30446793.37,0.3
0063197,200,"2025-07-16 00:12:19",200.04,10991019.45,10991219.49,0.04
0063197,200,"2025-07-17 00:11:03",200.46,27476489.91,27476690.37,0.46
