Prefixo;Tipo_Frota;Empresa;Tanque
900;APOIO;Pernambuco;300
2001;BÁSICO - PE;Pernambuco;300
2002;BÁSICO - PE;Pernambuco;300
2003;BÁSICO - PE;Pernambuco;300
2004;BÁSICO - PE;Pernambuco;300
2005;BÁSICO - PE;Pernambuco;300
2006;BÁSICO - PE;Pernambuco;300
2007;BÁSICO - PE;Pernambuco;300
2008;BÁSICO - PE;Pernambuco;300
2009;BÁSICO - PE;Pernambuco;300
2010;BÁSICO - PE;Pernambuco;300
2011;BÁSICO - PE;Pernambuco;300
2012;BÁSICO - PE;Pernambuco;300
2013;BÁSICO - PE;Pernambuco;300
2014;BÁSICO - PE;Pernambuco;300
2015;BÁSICO - PE;Pernambuco;300
2016;BÁSICO - PE;Pernambuco;300
2017;BÁSICO - PE;Pernambuco;300
2018;BÁSICO - PE;Pernambuco;300
2019;BÁSICO - PE;Pernambuco;300
2020;BÁSICO - PE;Pernambuco;300
2021;BÁSICO - PE;Pernambuco;300
2022;BÁSICO - PE;Pernambuco;300
2023;BÁSICO - PE;Pernambuco;300
2024;BÁSICO - PE;Pernambuco;300
2025;BÁSICO - PE;Pernambuco;300
2026;BÁSICO - PE;Pernambuco;300
2027;BÁSICO - PE;Pernambuco;300
2028;BÁSICO - PE;Pernambuco;300
2029;BÁSICO - PE;Pernambuco;300
2030;BÁSICO - PE;Pernambuco;300
2031;BÁSICO - PE;Pernambuco;300
2032;BÁSICO - PE;Pernambuco;300
2033;BÁSICO - PE;Pernambuco;300
2034;BÁSICO - PE;Pernambuco;300
2035;BÁSICO - PE;Pernambuco;300
2036;BÁSICO - PE;Pernambuco;300
2037;BÁSICO - PE;Pernambuco;300
2038;BÁSICO - PE;Pernambuco;300
2039;BÁSICO - PE;Pernambuco;300
2040;BÁSICO - PE;Pernambuco;300
2041;BÁSICO C/ AR - PE;Pernambuco;400
2042;BÁSICO C/ AR - PE;Pernambuco;400
2043;BÁSICO C/ AR - PE;Pernambuco;400
2044;BÁSICO C/ AR - PE;Pernambuco;300
2045;BÁSICO C/ AR - PE;Pernambuco;300
