Gt Frotas;EMPRESA;Empresa;Prefixo;Tanque;Litros;;EMPRESA;Empresa;Prefixo;Litros;;Prefixos;Empresa;Globus
;27;Pernambuco;211;300;226.66;;27;Pernambuco;900;89.62;;900;Pernambuco;
;27;Pernambuco;700;80;80.49;;27;Pernambuco;2001;136.27;;2001;Pernambuco;
;27;Pernambuco;900;300;104.05;;27;Pernambuco;2002;139.14;;2002;Pernambuco;
;27;Pernambuco;2001;300;136.27;;27;Pernambuco;2003;159.23;;2003;Pernambuco;
;27;Pernambuco;2002;300;139.14;;27;Pernambuco;2004;142.699;;2004;Pernambuco;
;27;Pernambuco;2003;300;159.23;;27;Pernambuco;2005;145.009;;2005;Pernambuco;
;27;Pernambuco;2004;300;142.7;;27;Pernambuco;2006;159.09;;2006;Pernambuco;
;27;Pernambuco;2005;300;145.01;;27;Pernambuco;2007;179.759;;2007;Pernambuco;
;27;Pernambuco;2006;300;159.09;;27;Pernambuco;2008;138.3;;2008;Pernambuco;
;27;Pernambuco;2007;300;179.76;;27;Pernambuco;2009;139.55;;2009;Pernambuco;
;27;Pernambuco;2008;300;138.3;;27;Pernambuco;2010;154.31;;2010;Pernambuco;
;27;Pernambuco;2009;300;139.55;;27;Pernambuco;2011;158.21;;2011;Pernambuco;
;27;Pernambuco;2010;300;154.31;;27;Pernambuco;2012;140.75;;2012;Pernambuco;
;27;Pernambuco;2011;300;158.21;;27;Pernambuco;2013;160.56;;2013;Pernambuco;
;27;Pernambuco;2012;300;140.75;;27;Pernambuco;2014;112.59;;2014;Pernambuco;
;27;Pernambuco;2013;300;160.56;;27;Pernambuco;2015;141.97;;2015;Pernambuco;
;27;Pernambuco;2014;300;112.59;;27;Pernambuco;2016;167.58;;2016;Pernambuco;
;27;Pernambuco;2015;300;141.97;;27;Pernambuco;2017;171.02;;2017;Pernambuco;
;27;Pernambuco;2016;300;167.58;;27;Pernambuco;2018;174.21;;2018;Pernambuco;
;27;Pernambuco;2017;300;171.02;;27;Pernambuco;2019;169.06;;2019;Pernambuco;
;27;Pernambuco;2018;300;174.21;;27;Pernambuco;2020;188.069;;2020;Pernambuco;
;27;Pernambuco;2019;300;169.06;;27;Pernambuco;2021;122.629;;2021;Pernambuco;
;27;Pernambuco;2020;300;188.07;;27;Pernambuco;2022;125.909;;2022;Pernambuco;
;27;Pernambuco;2021;300;122.63;;27;Pernambuco;2023;73.2;;2023;Pernambuco;
;27;Pernambuco;2022;300;125.91;;27;Pernambuco;2024;124.19;;2024;Pernambuco;
;27;Pernambuco;2023;300;73.2;;27;Pernambuco;2025;110.359;;2025;Pernambuco;
;27;Pernambuco;2024;300;124.19;;27;Pernambuco;2026;120.32;;2026;Pernambuco;
;27;Pernambuco;2025;300;110.36;;27;Pernambuco;2027;124.8;;2027;Pernambuco;
;27;Pernambuco;2026;300;120.32;;27;Pernambuco;2028;128.569;;2028;Pernambuco;
;27;Pernambuco;2027;300;124.8;;27;Pernambuco;2029;115.569;;2029;Pernambuco;
;27;Pernambuco;2028;300;128.57;;27;Pernambuco;2030;93.22;;2030;Pernambuco;
;27;Pernambuco;2029;300;115.57;;27;Pernambuco;2031;200.729;;2031;Pernambuco;
;27;Pernambuco;2030;300;93.22;;27;Pernambuco;2032;185.719;;2032;Pernambuco;
;27;Pernambuco;2031;300;200.73;;27;Pernambuco;2033;187.84;;2033;Pernambuco;
